SIZE, NUMT, Mul Pnon-sse, Mul Psse, Mul S, MulOMP Psse, MulOMP S, MulSum Pnon-sse, MulSum Psse, MulSum S, MulSumOMP Psse, MulSumOMP S
        1024	,    361.92	,   1750.81	,  4.84	,    362.64	,   1829.47	,  5.04	,    909.44	,  2.51
,        2048	,    361.56	,   1801.00	,  4.98	,    364.08	,   1805.44	,  4.96	,   1186.10	,  3.26
,        4096	,    352.92	,   1752.91	,  4.97	,    364.29	,   1818.88	,  4.99	,   1366.28	,  3.75
,        8192	,    355.48	,   1740.42	,  4.90	,    364.83	,   2030.02	,  5.56	,   1691.88	,  4.64
,       16384	,    306.24	,   1992.32	,  6.51	,    365.15	,   1854.93	,  5.08	,   1852.98	,  5.07
,       32768	,    356.71	,   1967.37	,  5.52	,    365.25	,   1751.42	,  4.80	,   1669.01	,  4.57
,       65536	,    356.55	,   1714.89	,  4.81	,    364.95	,   1746.30	,  4.79	,   1761.46	,  4.83
,      131072	,    356.32	,   1774.37	,  4.98	,    365.04	,   1949.49	,  5.34	,   1756.41	,  4.81
,      262144	,    356.20	,   1745.11	,  4.90	,    365.04	,   1770.22	,  4.85	,   1735.07	,  4.75
,      524288	,    352.96	,   1744.78	,  4.94	,    363.34	,   1814.11	,  4.99	,   1728.91	,  4.76
,     1048576	,    350.34	,   1611.41	,  4.60	,    362.08	,   1778.89	,  4.91	,   1452.10	,  4.01
,     2097152	,    343.16	,   1091.83	,  3.18	,    359.07	,   1516.48	,  4.22	,   1057.48	,  2.95
,     4194304	,    340.84	,    912.16	,  2.68	,    357.81	,   1144.80	,  3.20	,    895.54	,  2.50
,     8388608	,    339.66	,    837.75	,  2.47	,    356.27	,   1061.11	,  2.98	,    841.92	,  2.36
,        1024	,    362.88	,   1793.66	,  4.94	,    362.64	,   2070.64	,  5.71	,    631.54	,  1.74
,        2048	,    363.78	,   1776.27	,  4.88	,    364.20	,   2004.58	,  5.50	,   1118.53	,  3.07
