SIZE, NUMT, Mul Pnon-sse, Mul Psse, Mul S, MulOMP Psse, MulOMP S, MulSum Pnon-sse, MulSum Psse, MulSum S, MulSumOMP Psse, MulSumOMP S
        1024	,    362.88	,   1776.27	,  4.89	,    362.64	,   1826.43	,  5.04	,    921.64	,  2.54
,        2048	,    362.52	,   2120.56	,  5.85	,    364.20	,   1841.73	,  5.06	,   1186.10	,  3.26
,        4096	,    354.57	,   1728.79	,  4.88	,    363.99	,   1814.38	,  4.98	,   1361.62	,  3.74
,        8192	,    358.06	,   1722.36	,  4.81	,    364.76	,   2020.70	,  5.54	,   1528.16	,  4.19
,       16384	,    355.88	,   1720.84	,  4.84	,    365.08	,   2101.56	,  5.76	,   1609.83	,  4.41
,       32768	,    356.42	,   1827.38	,  5.13	,    365.26	,   1899.91	,  5.20	,   1748.47	,  4.79
,       65536	,    357.15	,   1973.49	,  5.53	,    365.32	,   1866.89	,  5.11	,   1843.51	,  5.05
,      131072	,    356.09	,   1745.28	,  4.90	,    364.99	,   1913.96	,  5.24	,   1727.69	,  4.73
,      262144	,    355.84	,   1739.09	,  4.89	,    364.79	,   1993.10	,  5.46	,   1603.24	,  4.39
,      524288	,    352.98	,   1741.35	,  4.93	,    363.40	,   1750.91	,  4.82	,   1724.54	,  4.75
,     1048576	,    348.56	,   1425.07	,  4.09	,    361.78	,   1760.72	,  4.87	,   1558.49	,  4.31
,     2097152	,    341.61	,   1055.87	,  3.09	,    359.28	,   1475.04	,  4.11	,   1056.75	,  2.94
,     4194304	,    340.18	,    862.20	,  2.53	,    357.68	,   1144.79	,  3.20	,    887.23	,  2.48
,     8388608	,    339.95	,    830.40	,  2.44	,    356.24	,   1045.99	,  2.94	,    828.48	,  2.33
,        1024	,    361.92	,   1782.03	,  4.92	,    362.64	,   1764.87	,  4.87	,    614.25	,  1.69
,        2048	,    364.50	,   1783.47	,  4.89	,    364.20	,   1814.38	,  4.98	,   1331.13	,  3.65
,        4096	,    354.08	,   1753.61	,  4.95	,    364.26	,   1812.88	,  4.98	,   1649.06	,  4.53
,        8192	,    355.53	,   1727.09	,  4.86	,    364.77	,   1794.39	,  4.92	,   2401.34	,  6.58
